Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Nedbør (mnd)
Bergen - Florida;SN50540;01.1982;-0,2;-
Bergen - Florida;SN50540;02.1982;3,2;-
Bergen - Florida;SN50540;03.1982;4,4;-
Bergen - Florida;SN50540;04.1982;5,4;-
Bergen - Florida;SN50540;05.1982;9,7;-
Bergen - Florida;SN50540;06.1982;14,4;-
Bergen - Florida;SN50540;07.1982;15,2;-
Bergen - Florida;SN50540;08.1982;14,9;-
Bergen - Florida;SN50540;09.1982;11,1;-
Bergen - Florida;SN50540;10.1982;10;-
Bergen - Florida;SN50540;11.1982;5,8;-
Bergen - Florida;SN50540;12.1982;3,3;-
Bergen - Florida;SN50540;01.1983;3,8;461
Bergen - Florida;SN50540;02.1983;0,8;45,3
Bergen - Florida;SN50540;03.1983;3,9;248,8
Bergen - Florida;SN50540;04.1983;6,4;104,1
Bergen - Florida;SN50540;05.1983;10,1;142,7
Bergen - Florida;SN50540;06.1983;12,7;99,1
Bergen - Florida;SN50540;07.1983;14,9;144,3
Bergen - Florida;SN50540;08.1983;13,6;192
Bergen - Florida;SN50540;09.1983;11,5;279
Bergen - Florida;SN50540;10.1983;8;586,3
Bergen - Florida;SN50540;11.1983;4,6;282
Bergen - Florida;SN50540;12.1983;3,1;314,6
Bergen - Florida;SN50540;01.1984;-0,2;196,3
Bergen - Florida;SN50540;02.1984;1,6;106,5
Bergen - Florida;SN50540;03.1984;2;52
Bergen - Florida;SN50540;04.1984;6,5;144,7
Bergen - Florida;SN50540;05.1984;11,7;34,6
Bergen - Florida;SN50540;06.1984;13,9;121,6
Bergen - Florida;SN50540;07.1984;14,1;75,8
Bergen - Florida;SN50540;08.1984;14,5;156,2
Bergen - Florida;SN50540;09.1984;11,1;74,9
Bergen - Florida;SN50540;10.1984;9;371,3
Bergen - Florida;SN50540;11.1984;6,9;165,1
Bergen - Florida;SN50540;12.1984;4,4;261,4
Bergen - Florida;SN50540;01.1985;-1,6;95,4
Bergen - Florida;SN50540;02.1985;0,1;145,4
Bergen - Florida;SN50540;03.1985;3;165,1
Bergen - Florida;SN50540;04.1985;5,4;94,2
Bergen - Florida;SN50540;05.1985;11,5;50,3
Bergen - Florida;SN50540;06.1985;12,8;37,1
Bergen - Florida;SN50540;07.1985;14,9;203,3
Bergen - Florida;SN50540;08.1985;14,1;325,4
Bergen - Florida;SN50540;09.1985;9,9;188,5
Bergen - Florida;SN50540;10.1985;9,4;307,4
Bergen - Florida;SN50540;11.1985;1;101,1
Bergen - Florida;SN50540;12.1985;1,1;252,8
Bergen - Florida;SN50540;01.1986;-1,4;153,5
Bergen - Florida;SN50540;02.1986;-2,1;4,7
Bergen - Florida;SN50540;03.1986;4,2;227,3
Bergen - Florida;SN50540;04.1986;5,2;17,2
Bergen - Florida;SN50540;05.1986;10,6;197,6
Bergen - Florida;SN50540;06.1986;14,6;109
Bergen - Florida;SN50540;07.1986;13,7;188,2
Bergen - Florida;SN50540;08.1986;13,6;117,3
Bergen - Florida;SN50540;09.1986;8,8;477,8
Bergen - Florida;SN50540;10.1986;8,6;419,4
Bergen - Florida;SN50540;11.1986;6,6;474,2
Bergen - Florida;SN50540;12.1986;2,9;392,6
Bergen - Florida;SN50540;01.1987;-2,9;79,2
Bergen - Florida;SN50540;02.1987;1,4;147,8
Bergen - Florida;SN50540;03.1987;1,4;84,4
Bergen - Florida;SN50540;04.1987;7,6;80,6
Bergen - Florida;SN50540;05.1987;9,1;99,5
Bergen - Florida;SN50540;06.1987;11,5;50,7
Bergen - Florida;SN50540;07.1987;15,1;56
Bergen - Florida;SN50540;08.1987;13,7;150,8
Bergen - Florida;SN50540;09.1987;10,8;331,2
Bergen - Florida;SN50540;10.1987;10,3;214,1
Bergen - Florida;SN50540;11.1987;4,9;176,8
Bergen - Florida;SN50540;12.1987;3,9;239
Bergen - Florida;SN50540;01.1988;4;235,6
Bergen - Florida;SN50540;02.1988;3,3;174,6
Bergen - Florida;SN50540;03.1988;2,3;82,1
Bergen - Florida;SN50540;04.1988;4,6;158,3
Bergen - Florida;SN50540;05.1988;11,9;83,5
Bergen - Florida;SN50540;06.1988;14,3;25
Bergen - Florida;SN50540;07.1988;15,5;185
Bergen - Florida;SN50540;08.1988;14,5;269,1
Bergen - Florida;SN50540;09.1988;12,2;402,4
Bergen - Florida;SN50540;10.1988;8,1;174,5
Bergen - Florida;SN50540;11.1988;4,4;235,7
Bergen - Florida;SN50540;12.1988;3,6;315,9
Bergen - Florida;SN50540;01.1989;6;478,4
Bergen - Florida;SN50540;02.1989;4,7;299,3
Bergen - Florida;SN50540;03.1989;5,1;328
Bergen - Florida;SN50540;04.1989;6,8;61,1
Bergen - Florida;SN50540;05.1989;9,4;198,2
Bergen - Florida;SN50540;06.1989;13,3;200,2
Bergen - Florida;SN50540;07.1989;14,4;152,3
Bergen - Florida;SN50540;08.1989;13;351,7
Bergen - Florida;SN50540;09.1989;11,9;268,5
Bergen - Florida;SN50540;10.1989;8,6;205,2
Bergen - Florida;SN50540;11.1989;5,6;129,6
Bergen - Florida;SN50540;12.1989;2,9;194,7
Bergen - Florida;SN50540;01.1990;5;367,2
